antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
AGE_19_40,"SEX_OTHER, SERIOUS_YES",0.10331,0.28021,0.02522,0.24411963991869132,0.8712024550112105,1.0,-0.003728495100000003,0.9522538724548597,-0.14153637429432023,0.0703879430644711,-0.05014012431585421,0.16706178277294975
"AGE_19_40, SEX_OTHER",SERIOUS_NO,0.10331,0.71979,0.07809,0.7558803600813088,1.0501401243158544,1.0,0.0037284951000000066,1.1478388223632041,0.05324708376935207,0.1048173850015436,0.1287975449887896,0.4321851681621898
"AGE_19_40, SERIOUS_NO",SEX_OTHER,0.07809,1.0,0.07809,1.0,1.0,1.0,0.0,inf,0.0,0.07809,0.0,0.539045
AGE_19_40,"SEX_OTHER, SERIOUS_NO",0.10331,0.71979,0.07809,0.7558803600813088,1.0501401243158544,1.0,0.0037284951000000066,1.1478388223632041,0.05324708376935207,0.1048173850015436,0.1287975449887896,0.4321851681621898
"REACT_OFF_LABEL_USE, AGE_19_40",SEX_OTHER,0.01617,1.0,0.01617,1.0,1.0,1.0,0.0,inf,0.0,0.01617,0.0,0.508085
"REACT_OFF_LABEL_USE, AGE_19_40",SERIOUS_NO,0.01617,0.71979,0.0114,0.7050092764378478,0.9794652279662788,1.0,-0.0002390042999999998,0.9498942767295595,-0.020865234633679355,0.015733686651209007,-0.0527487368835952,0.36042361458703126
"REACT_OFF_LABEL_USE, AGE_19_40",SERIOUS_YES,0.01617,0.28021,0.00477,0.2949907235621521,1.0527487368835948,1.0,0.0002390042999999998,1.020965289473684,0.050929249230497346,0.016357463735811525,0.020534772033721085,0.15600683531877993
"SEX_OTHER, AGE_19_40",DRUG_DUPIXENT,0.10331,0.13125,0.02432,0.2354079953537896,1.7935847265050635,1.0,0.010760562500000001,1.1362268958095962,0.49343400688995964,0.11567732115677323,0.11989409537126858,0.21035161672451386
"AGE_19_40, DRUG_DUPIXENT",SEX_OTHER,0.02432,1.0,0.02432,1.0,1.0,1.0,0.0,inf,0.0,0.024320000000000005,0.0,0.51216
AGE_19_40,"SEX_OTHER, DRUG_DUPIXENT",0.10331,0.13125,0.02432,0.2354079953537896,1.7935847265050635,1.0,0.010760562500000001,1.1362268958095962,0.49343400688995964,0.11567732115677323,0.11989409537126858,0.21035161672451386
"AGE_19_40, DRUG_DUPIXENT",SERIOUS_NO,0.02432,0.71979,0.02368,0.9736842105263157,1.3527337286240648,1.0,0.006174707199999997,10.647979999999965,0.2672558791983192,0.03286925863720278,0.906085473488868,0.5032913474032265
"AGE_19_40, SERIOUS_NO",DRUG_DUPIXENT,0.07809,0.13125,0.02368,0.3032398514534511,2.31039886821677,1.0,0.013430687499999998,1.2468422624517552,0.6152165647508535,0.12754497468490789,0.1979739297305912,0.24182944953624935
AGE_19_40,"DRUG_DUPIXENT, SERIOUS_NO",0.10331,0.12499,0.02368,0.2292130481076372,1.8338510929485334,1.0,0.010767283099999999,1.1352164146678387,0.5070865686429942,0.11572671293128726,0.11911069371508579,0.2093341022600751
DRUG_PREDNISONE,SEX_OTHER,0.02648,1.0,0.02648,1.0,1.0,1.0,0.0,inf,0.0,0.02648,0.0,0.51324
DRUG_PREDNISONE,SERIOUS_YES,0.02648,0.28021,0.01485,0.5608006042296073,2.001358282108445,1.0,0.0074300392,1.6388683748925195,0.5139487016880393,0.050884046052631575,0.38982287087846085,0.30689828576991945
DRUG_PREDNISONE,SERIOUS_NO,0.02648,0.71979,0.01163,0.43919939577039274,0.6101771291215392,1.0,-0.0074300392,0.4996606599326599,-0.3962248704100871,0.01583088315365349,-1.0013582821084448,0.22767844307476556
DRUG_PREDNISONE,nan,0.02648,0.35861,0.00694,0.2620845921450151,0.7308345895123257,1.0,-0.0025559928000000003,0.8691917707267145,-0.27447723108307476,0.018352505619463177,-0.15049409540994538,0.14071854603765074
DRUG_PREDNISONE,AGE_41_65,0.02648,0.25194,0.0098,0.3700906344410876,1.4689633819206462,1.0,0.0031286288,1.187567673860911,0.32793146184433175,0.036482763755491025,0.15794272443532284,0.20449439239717315
"DRUG_PREDNISONE, SERIOUS_YES",SEX_OTHER,0.01485,1.0,0.01485,1.0,1.0,1.0,0.0,inf,0.0,0.01485,0.0,0.507425
"DRUG_PREDNISONE, SEX_OTHER",SERIOUS_YES,0.02648,0.28021,0.01485,0.5608006042296073,2.001358282108445,1.0,0.0074300392,1.6388683748925195,0.5139487016880393,0.050884046052631575,0.38982287087846085,0.30689828576991945
DRUG_PREDNISONE,"SEX_OTHER, SERIOUS_YES",0.02648,0.28021,0.01485,0.5608006042296073,2.001358282108445,1.0,0.0074300392,1.6388683748925195,0.5139487016880393,0.050884046052631575,0.38982287087846085,0.30689828576991945
